vehicle_no,device_id
K0051,867032053815309
K0052,866041043599668
K0053,867032053705039
K0054,862607052177390
K0055,867032053731514
K0056,862607052134664
K0057,862607059196633
K0058,864650056260737
K0059,867383057220651
K0060,862607059160761
K0061,864650059578689
K0062,862607059213776
K0063,862607059193994
K0064,867032053795006
K0065,862547050804589
K0069,864513041510139
J0250,867032053744392
J0251,865860041718280
J0252,862607059212299
J0253,862607059116243
J0254,867032053928490
J0255,862607059212083
J0256,862607055711385
J0257,862607055671449
J0258,864650059617099
J0259,860965069048885
J0261,862607059075217
J0262,862607059373141
J0263,862607055616501
J0264,864513042783131
J0265,862607052179172
J0266,864650059678703
J0267,864513041436509
J0268,864650056178285
J0269,862607055720410
J0271,862607059189836
J0272,862607052167490
J0273,864513042754090
J0275,864650059677515
J0279,864977043750987
J0280,864513041473544
J0283,866041043486619
J0284,862607059147115
J0285,864650056195917
J0286,864650059539459
J0287,864388041719752
J0288,864513046420003
J0289,867032053765520
J0290,868142049638613
J0293,862607055577711
J0294,862607059211861
J0295,867383057130496
J0296,862607059102763
J0299,866041041917953
J0993,861107032651185
J1027,865501043926212
J1029,861107032559222
J1325,868704041303494
J1326,868922051330567
J1362,860548046766462
J1363,866758047904426
J1364,865860041784258
J1365,863617069493507
J1366,868922051330401
J1367,867732033538240
J1368,864337056376883
J1369,860588042340524
J1370,862547054019788
J1371,862607059339449
J1372,862607059073592
J1373,868704041218627
J1374,868794061118047
J1375,860548045690028
J1376,862607059112333
J1377,868922051329395
J1378,861107032595473
J1379,863617069492251
J1380,868704041304138
J1381,867184039930361
J1383,867184039753979
J1384,864650059582913
J1385,862607059031053
J1386,868704043202744
J1387,864513040424779
J1388,861107032493786
J1389,863418052933306
J1390,861107032771314
J1391,863418051835056
J1392,868922053070914
J1393,864513042799244
J1394,861107037936904
J1395,868704041257377
J1396,864388041828140
J1397,864513042781796
J1398,864650056121996
J1399,860588042342033
J1400,866758048848770
J1401,868704041201466
J1402,860548042868676
J1403,862607052337564
J1404,867624060165486
J1405,861107037555043
J1406,868704046771505
J1407,864337056380786
J1459,866758042043204
J1479,867032053891292
J1480,868704043196706
J1481,866758048008243
J1482,862107049552078
J1483,860965067631054
J1484,861107033061590
J1485,864650059580271
J1486,867032053891078
J1487,867032059237946
J1488,864977043682347
J1489,864977043763832
J1490,865501043943704
J1491,868704041302660
J1492,862607059130921
J1493,866758048846386
J1494,867732035509603
J1495,860548040704618
J1496,868704041297910
J1497,866758049552185
J1498,868704043187192
J1499,866041041963932
J1500,862607059210855
J1501,865501043920785
J1502,864513042781242
J1503,867032053900796
J1504,864650056239830
J1505,861107037861037
J1506,861107033954232
J1507,864650056167635
J1508,867032053796038
J1509,865501043914465
J1510,866758046167496
J1511,862607059149087
J1512,862607059211739
J1513,864650059639002
J1514,868704041055524
J1515,861107037940278
J1516,866758049553049
J1517,862547050662276
J1518,866758047874546
J1519,866758046193468
J1520,867383057156962
J1521,862607059140227
J1522,864650059624780
J1523,866041041978815
J1524,862107048100069
J1525,867732035493824
J1526,867184039938331
J1527,863958044815913
J1528,866758049190453
J1529,867383050875881
J1530,860548045627210
J1531,864337056457519
J1532,864337056476311
J1533,867698047410488
J1534,861107033145963
J1535,864977043645724
J1536,864650059573623
J1537,860965067662802
J1538,864337056543995
J1539,865501043928762
J1540,864337056363980
J1541,866041042143617
J1542,868142049699045
J1543,860548040349018
J1544,867184039951771
J1545,865860041738221
J1546,868704043919925
J1547,869756045660526
K0070,867383059187221
K0071,864650059557964
K0072,865501043878702
K0073,867032059237839
K0074,862614060270092
K0075,863958044709058
K0076,864337059102682
K0077,867383057158505
K0078,862607059218122
K0079,863958044781040
I3360,864650059636057
I3361,862607059048024
I3362,864650059508942
I3363,864977043662315
I3364,867032059132675
I3365,862607055581143
I3366,867032053804360
I3367,864650056178582
I3368,867032053728353
I3369,862607052180600
J0835,864337050647727
J0844,862607055664204
J0853,867383059153652
I1688,867383057120695
I1690,
I1691,869244044502650
I1693,
I1694,869244042763908
I1697,869244044489114
I1698,869244042801955
I1699,868728039247868
I1938,867032053713702
I1939,868728039343642
I1941,867032053767302
I1942,867032059059019
I1944,860965064643607
I1945,869244044528598
I1949,868794061123237
I1950,867032053728910
I1951,862607059131895
I1953,869244044494577
I1957,867032059151055
I1958,864513041477206
I1960,862607055692122
I1961,867032059172820
I1963,868728039342586
I1965,358250330780163
I1966,869244044489429
I1967,869244042809636
I2021,867032059119276
I2022,864513041434538
I2025,864650059614948
I2027,864650056178269
I2028,
I2033,867032053802976
I2034,868728039291734
I2035,864977047876010
I2039,864977043737687
J0300,864650059578200
I0710,
I0712,869244044536831
I0716,868728039265647
I0717,
I0718,
I0720,869244042766570
I0722,869244044497208
I0723,869244044703431
I0726,
I0730,869244044503237
I0732,869244042656797
I0735,869244042769301
I0740,868728039313124
I0744,869244042766646
I0747,868728039321127
I0001,
J1382,860548046762917
J1408,860548044385315
J1548,867732035533272
J1549,861107034048919
J1550,864337056514749
J1551,867032053659079
J1552,867732035548502
J1553,862607059037324
J1554,865501043852632
J1555,868704046750574
J1556,865860042145491
J1557,864513046452170
J1558,868704041022078
J1559,862348058255332
J1560,868704041288117
J1561,862607059112754
J1562,862107049430614
J1563,868704043204997
J1564,867732033130774
J1565,866758046112773
J1566,865501042110172
J1567,860965065313085
J1568,863617069448808
J1569,869244044491334
J1570,860588042340110
J1571,866758049534809
J1572,864650059649449
J1573,868728039295461
J1574,868704041051937
J1575,865501043848978
J1576,862614060293862
J1577,862607059045624
J1578,860965067631468
J1579,864650056201160
J1580,867605050970662
J1581,866758047891599
J1582,866041043625208
J1583,861107034011545
J1584,865501043947838
J1585,869756046071392
J1586,862607052179289
K0066,862607055600190
K0067,863958044883473
K0068,867032053791666
K0083,862607059213255
K0084,868274062648755
K0085,862607055691173
K0086,866041040938117
K0087,864513045696926
K0088,862607059154970
K0089,867032053800491
K0090,867032053800095
K0091,862607059212174
K0092,869244042650477
K0093,868142049672349
K0094,864977047864271
K0095,862607059175546
K0096,863617069469481
K0097,864650059638459
K0098,864650056132944
I3370,865860042145582
I3371,864650056118745
I3372,864650054155426
I3373,862607059106426
I3374,867032053929290
I3375,867032053744095
I3376,862607059245729
I3377,867032053735846
I3378,862607059152172
